transaction_id,date,customer_id,product_id,product_category,region,amount,tax,total_revenue
TRX-10088,2025-02-03,CUST-952,PROD-4406,Sports,Europe,286.76,22.94,309.7
TRX-10089,2025-12-15,CUST-407,PROD-2686,Electronics,Asia Pacific,217.27,17.38,234.65
TRX-10090,2025-11-02,CUST-358,PROD-2076,Clothing,Latin America,307.53,24.6,332.13
TRX-10091,2025-11-13,CUST-747,PROD-2680,Home & Garden,Asia Pacific,393.6,31.49,425.09
TRX-10092,2025-07-05,CUST-509,PROD-4436,Toys,North America,259.53,20.76,280.29
TRX-10093,2025-03-05,CUST-296,PROD-4085,Sports,Europe,395.7,31.66,427.36
TRX-10094,2025-06-11,CUST-793,PROD-4467,Toys,North America,99.94,8.0,107.94
TRX-10095,2025-11-01,CUST-472,PROD-1218,Home & Garden,North America,312.31,24.98,337.29
TRX-10096,2025-03-25,CUST-191,PROD-3957,Toys,Asia Pacific,294.63,23.57,318.2
TRX-10097,2025-11-01,CUST-797,PROD-2978,Home & Garden,North America,237.88,19.03,256.91
TRX-10098,2025-10-16,CUST-400,PROD-1539,Toys,Asia Pacific,215.75,17.26,233.01
TRX-10099,2025-09-02,CUST-790,PROD-3433,Clothing,Latin America,476.96,38.16,515.12
TRX-10100,2025-02-08,CUST-679,PROD-4961,Sports,North America,123.74,9.9,133.64
TRX-10101,2025-06-12,CUST-120,PROD-4563,Sports,Europe,294.49,23.56,318.05
TRX-10102,2025-08-23,CUST-942,PROD-2558,Toys,Europe,52.47,4.2,56.67
TRX-10103,2025-01-24,CUST-887,PROD-3708,Toys,Asia Pacific,295.06,23.6,318.66
TRX-10104,2025-01-18,CUST-555,PROD-2460,Clothing,Latin America,321.72,25.74,347.46
TRX-10105,2025-03-12,CUST-976,PROD-1695,Toys,Europe,289.89,23.19,313.08
TRX-10106,2025-01-04,CUST-230,PROD-4630,Toys,Latin America,64.28,5.14,69.42
TRX-10107,2025-02-11,CUST-267,PROD-3350,Home & Garden,Europe,355.22,28.42,383.64
TRX-10108,2025-04-09,CUST-181,PROD-1289,Home & Garden,Europe,63.23,5.06,68.29
TRX-10109,2025-10-16,CUST-354,PROD-4501,Sports,North America,332.78,26.62,359.4
TRX-10110,2025-06-27,CUST-216,PROD-3640,Clothing,Europe,144.85,11.59,156.44
TRX-10111,2025-02-11,CUST-621,PROD-1335,Clothing,Latin America,72.24,5.78,78.02
TRX-10112,2025-11-29,CUST-945,PROD-4504,Home & Garden,Latin America,264.34,21.15,285.49
TRX-10113,2025-07-31,CUST-104,PROD-3227,Home & Garden,Asia Pacific,275.84,22.07,297.91
TRX-10114,2025-06-29,CUST-555,PROD-2159,Home & Garden,North America,245.01,19.6,264.61
TRX-10115,2025-12-13,CUST-599,PROD-1800,Sports,North America,195.38,15.63,211.01
TRX-10116,2025-03-13,CUST-168,PROD-1563,Sports,Europe,320.57,25.65,346.22
TRX-10117,2025-04-26,CUST-543,PROD-4116,Toys,Latin America,45.74,3.66,49.4
TRX-10118,2025-09-07,CUST-760,PROD-4787,Electronics,Latin America,178.97,14.32,193.29
TRX-10119,2025-12-18,CUST-983,PROD-1319,Sports,Asia Pacific,422.57,33.81,456.38
TRX-10120,2025-11-26,CUST-675,PROD-3472,Toys,Asia Pacific,276.49,22.12,298.61
TRX-10121,2025-12-18,CUST-492,PROD-1034,Home & Garden,Asia Pacific,33.11,2.65,35.76
TRX-10122,2025-03-29,CUST-896,PROD-1238,Sports,Europe,393.9,31.51,425.41
TRX-10123,2025-11-30,CUST-797,PROD-2348,Toys,Asia Pacific,29.24,2.34,31.58
TRX-10124,2025-01-10,CUST-620,PROD-3524,Toys,Latin America,27.75,2.22,29.97
TRX-10125,2025-12-29,CUST-751,PROD-3681,Toys,Europe,69.75,5.58,75.33
TRX-10126,2025-03-10,CUST-727,PROD-1339,Home & Garden,Asia Pacific,119.88,9.59,129.47
TRX-10127,2025-05-05,CUST-988,PROD-1877,Clothing,Latin America,182.16,14.57,196.73
TRX-10128,2025-01-29,CUST-262,PROD-2362,Home & Garden,Asia Pacific,98.84,7.91,106.75
TRX-10129,2025-09-01,CUST-201,PROD-1775,Clothing,Asia Pacific,267.14,21.37,288.51
TRX-10130,2025-05-24,CUST-904,PROD-3962,Electronics,Asia Pacific,439.19,35.14,474.33
TRX-10131,2025-09-11,CUST-450,PROD-4550,Toys,Asia Pacific,342.11,27.37,369.48
TRX-10132,2025-05-06,CUST-636,PROD-4610,Electronics,Asia Pacific,496.43,39.71,536.14
TRX-10133,2025-09-25,CUST-544,PROD-4591,Toys,Europe,491.59,39.33,530.92
TRX-10134,2025-03-01,CUST-444,PROD-1131,Toys,Latin America,182.2,14.58,196.78
TRX-10135,2025-02-25,CUST-560,PROD-4800,Sports,North America,214.83,17.19,232.02
TRX-10136,2025-11-28,CUST-526,PROD-4513,Toys,Latin America,467.98,37.44,505.42
TRX-10137,2025-04-21,CUST-887,PROD-1423,Home & Garden,North America,382.66,30.61,413.27
TRX-10138,2025-06-10,CUST-907,PROD-1287,Electronics,Europe,334.36,26.75,361.11
TRX-10139,2025-07-14,CUST-356,PROD-1155,Toys,Latin America,162.65,13.01,175.66
TRX-10140,2025-11-28,CUST-428,PROD-1275,Home & Garden,Latin America,121.8,9.74,131.54
TRX-10141,2025-07-06,CUST-532,PROD-1472,Toys,Latin America,451.9,36.15,488.05
TRX-10142,2025-02-22,CUST-382,PROD-1268,Toys,Asia Pacific,259.2,20.74,279.94
TRX-10143,2025-07-15,CUST-607,PROD-2329,Clothing,Latin America,435.94,34.88,470.82
TRX-10144,2025-05-28,CUST-868,PROD-1076,Home & Garden,North America,284.41,22.75,307.16
TRX-10145,2025-08-01,CUST-778,PROD-2698,Sports,North America,304.53,24.36,328.89
TRX-10146,2025-01-28,CUST-316,PROD-2812,Toys,Europe,392.81,31.42,424.23
TRX-10147,2025-06-30,CUST-577,PROD-3756,Toys,North America,202.87,16.23,219.1
TRX-10148,2025-06-20,CUST-634,PROD-3314,Clothing,North America,487.67,39.01,526.68
TRX-10149,2025-09-29,CUST-760,PROD-1784,Sports,Europe,38.58,3.09,41.67
TRX-10150,2025-03-28,CUST-807,PROD-3862,Clothing,Asia Pacific,369.81,29.58,399.39
TRX-10151,2025-02-03,CUST-208,PROD-1048,Clothing,North America,84.75,6.78,91.53
TRX-10152,2025-03-01,CUST-867,PROD-1385,Electronics,Europe,136.96,10.96,147.92
TRX-10153,2025-01-03,CUST-533,PROD-2810,Electronics,North America,390.19,31.22,421.41
TRX-10154,2025-07-25,CUST-701,PROD-3226,Electronics,North America,338.48,27.08,365.56
TRX-10155,2025-04-17,CUST-609,PROD-1247,Electronics,Asia Pacific,234.3,18.74,253.04
TRX-10156,2025-07-11,CUST-139,PROD-4889,Electronics,Europe,303.73,24.3,328.03
TRX-10157,2025-10-18,CUST-642,PROD-1455,Home & Garden,North America,191.87,15.35,207.22
TRX-10158,2025-12-01,CUST-942,PROD-2166,Electronics,Europe,401.14,32.09,433.23
TRX-10159,2025-02-13,CUST-933,PROD-2914,Sports,Latin America,91.84,7.35,99.19
TRX-10160,2025-09-12,CUST-407,PROD-1587,Sports,Latin America,213.84,17.11,230.95
TRX-10161,2025-01-25,CUST-871,PROD-3266,Electronics,Asia Pacific,221.36,17.71,239.07
TRX-10162,2025-06-30,CUST-109,PROD-3718,Toys,Asia Pacific,308.17,24.65,332.82
TRX-10163,2025-03-06,CUST-439,PROD-1910,Electronics,Asia Pacific,287.83,23.03,310.86
TRX-10164,2025-08-06,CUST-645,PROD-3440,Sports,Europe,70.39,5.63,76.02
TRX-10165,2025-10-12,CUST-726,PROD-1877,Clothing,Asia Pacific,20.94,1.68,22.62
TRX-10166,2025-11-01,CUST-578,PROD-4854,Clothing,Latin America,202.71,16.22,218.93
TRX-10167,2025-12-25,CUST-859,PROD-4885,Clothing,Latin America,136.77,10.94,147.71
TRX-10168,2025-02-01,CUST-960,PROD-4242,Clothing,Europe,107.58,8.61,116.19
TRX-10169,2025-07-11,CUST-144,PROD-2234,Clothing,North America,137.66,11.01,148.67
TRX-10170,2025-03-02,CUST-689,PROD-1140,Sports,Asia Pacific,360.98,28.88,389.86
TRX-10171,2025-08-29,CUST-718,PROD-3285,Home & Garden,Latin America,47.78,3.82,51.6
TRX-10172,2025-04-05,CUST-671,PROD-4525,Toys,Latin America,365.86,29.27,395.13
TRX-10173,2025-12-13,CUST-908,PROD-4744,Electronics,Latin America,15.59,1.25,16.84
TRX-10174,2025-09-30,CUST-749,PROD-3035,Clothing,North America,483.22,38.66,521.88
TRX-10175,2025-03-05,CUST-114,PROD-3864,Electronics,Asia Pacific,62.16,4.97,67.13
TRX-10176,2025-11-17,CUST-208,PROD-4077,Sports,North America,472.27,37.78,510.05
TRX-10177,2025-12-25,CUST-481,PROD-3740,Toys,Europe,106.68,8.53,115.21
TRX-10178,2025-07-08,CUST-965,PROD-1701,Sports,North America,95.57,7.65,103.22
TRX-10179,2025-06-28,CUST-188,PROD-4436,Sports,North America,25.7,2.06,27.76
TRX-10180,2025-01-11,CUST-195,PROD-1010,Toys,North America,371.69,29.74,401.43
TRX-10181,2025-07-07,CUST-850,PROD-4955,Clothing,Asia Pacific,206.32,16.51,222.83
TRX-10182,2025-04-23,CUST-430,PROD-2026,Electronics,Latin America,287.16,22.97,310.13
TRX-10183,2025-05-15,CUST-284,PROD-2821,Sports,Europe,187.2,14.98,202.18
TRX-10184,2025-10-22,CUST-736,PROD-1817,Clothing,North America,86.71,6.94,93.65
TRX-10185,2025-03-12,CUST-139,PROD-1018,Home & Garden,North America,373.37,29.87,403.24
TRX-10186,2025-07-12,CUST-618,PROD-4606,Sports,Europe,272.03,21.76,293.79
TRX-10187,2025-06-21,CUST-644,PROD-3528,Toys,Asia Pacific,491.68,39.33,531.01
TRX-10188,2025-11-30,CUST-214,PROD-2588,Clothing,Latin America,347.55,27.8,375.35
TRX-10189,2025-06-05,CUST-100,PROD-1932,Home & Garden,Asia Pacific,299.32,23.95,323.27
TRX-10190,2025-06-16,CUST-270,PROD-1426,Sports,Asia Pacific,209.49,16.76,226.25
TRX-10191,2025-09-08,CUST-491,PROD-4325,Toys,Asia Pacific,65.5,5.24,70.74
TRX-10192,2025-10-19,CUST-577,PROD-2888,Toys,Europe,194.0,15.52,209.52
TRX-10193,2025-01-18,CUST-847,PROD-2384,Clothing,Asia Pacific,239.8,19.18,258.98
TRX-10194,2025-10-13,CUST-761,PROD-4031,Toys,Asia Pacific,145.73,11.66,157.39
TRX-10195,2025-08-26,CUST-858,PROD-1888,Electronics,North America,222.02,17.76,239.78
TRX-10196,2025-03-14,CUST-159,PROD-4027,Toys,Asia Pacific,182.69,14.62,197.31
TRX-10197,2025-03-16,CUST-855,PROD-3708,Clothing,North America,144.72,11.58,156.3
TRX-10198,2025-03-14,CUST-650,PROD-2498,Home & Garden,Asia Pacific,388.3,31.06,419.36
TRX-10199,2025-01-24,CUST-140,PROD-2507,Toys,Europe,57.67,4.61,62.28
TRX-10200,2025-01-31,CUST-509,PROD-2387,Sports,Europe,144.06,11.52,155.58
TRX-10201,2025-05-13,CUST-918,PROD-2408,Electronics,Asia Pacific,466.68,37.33,504.01
TRX-10202,2025-05-27,CUST-893,PROD-2974,Electronics,Europe,181.7,14.54,196.24
TRX-10203,2025-12-23,CUST-299,PROD-2855,Sports,Europe,163.44,13.08,176.52
TRX-10204,2025-01-20,CUST-783,PROD-3767,Sports,Asia Pacific,13.44,1.08,14.52
TRX-10205,2025-10-12,CUST-248,PROD-4558,Electronics,Asia Pacific,102.1,8.17,110.27
TRX-10206,2025-07-05,CUST-318,PROD-4269,Home & Garden,North America,319.94,25.6,345.54
TRX-10207,2025-02-03,CUST-904,PROD-4493,Electronics,Europe,392.29,31.38,423.67
TRX-10208,2025-08-07,CUST-538,PROD-3891,Toys,Asia Pacific,464.41,37.15,501.56
TRX-10209,2025-09-14,CUST-621,PROD-2011,Clothing,Latin America,324.15,25.93,350.08
TRX-10210,2025-08-06,CUST-296,PROD-3402,Toys,Europe,244.67,19.57,264.24
TRX-10211,2025-03-31,CUST-873,PROD-2788,Electronics,Europe,83.84,6.71,90.55
TRX-10212,2025-08-28,CUST-787,PROD-1743,Toys,Latin America,393.48,31.48,424.96
TRX-10213,2025-04-06,CUST-816,PROD-1568,Toys,Asia Pacific,336.53,26.92,363.45
TRX-10214,2025-02-20,CUST-327,PROD-2786,Sports,Asia Pacific,278.67,22.29,300.96
TRX-10215,2025-12-26,CUST-382,PROD-1999,Sports,Asia Pacific,125.8,10.06,135.86
TRX-10216,2025-12-26,CUST-528,PROD-1489,Clothing,Latin America,296.55,23.72,320.27
TRX-10217,2025-11-26,CUST-949,PROD-3551,Toys,Europe,424.2,33.94,458.14
TRX-10218,2025-06-27,CUST-669,PROD-4592,Electronics,Europe,390.83,31.27,422.1
TRX-10219,2025-11-10,CUST-781,PROD-2071,Electronics,Europe,66.04,5.28,71.32
TRX-10220,2025-01-02,CUST-856,PROD-2889,Toys,Latin America,443.71,35.5,479.21
TRX-10221,2025-12-18,CUST-748,PROD-1097,Toys,Europe,35.65,2.85,38.5
TRX-10222,2025-10-26,CUST-562,PROD-4534,Clothing,Asia Pacific,10.5,0.84,11.34
TRX-10223,2025-01-28,CUST-487,PROD-2783,Toys,Asia Pacific,335.88,26.87,362.75
TRX-10224,2025-01-18,CUST-449,PROD-4647,Clothing,Asia Pacific,480.56,38.44,519.0
TRX-10225,2025-11-15,CUST-308,PROD-1144,Electronics,Europe,108.05,8.64,116.69
TRX-10226,2025-12-21,CUST-264,PROD-1153,Home & Garden,Asia Pacific,357.98,28.64,386.62
TRX-10227,2025-09-19,CUST-554,PROD-4274,Clothing,Asia Pacific,270.1,21.61,291.71
TRX-10228,2025-05-09,CUST-730,PROD-1534,Sports,Europe,130.88,10.47,141.35
TRX-10229,2025-06-05,CUST-129,PROD-1371,Electronics,Asia Pacific,386.86,30.95,417.81
TRX-10230,2025-02-04,CUST-812,PROD-3319,Toys,North America,442.91,35.43,478.34
TRX-10231,2025-04-20,CUST-239,PROD-1477,Electronics,Latin America,199.54,15.96,215.5
TRX-10232,2025-11-03,CUST-874,PROD-4654,Toys,Latin America,91.23,7.3,98.53
TRX-10233,2025-11-04,CUST-875,PROD-1126,Toys,Asia Pacific,204.81,16.38,221.19
TRX-10234,2025-10-22,CUST-511,PROD-3739,Home & Garden,Latin America,72.89,5.83,78.72
TRX-10235,2025-07-29,CUST-394,PROD-2730,Toys,Latin America,228.78,18.3,247.08
TRX-10236,2025-07-16,CUST-641,PROD-3981,Clothing,Europe,286.17,22.89,309.06
TRX-10237,2025-03-01,CUST-800,PROD-3834,Toys,North America,253.09,20.25,273.34
TRX-10238,2025-10-12,CUST-985,PROD-1483,Toys,Europe,200.58,16.05,216.63
TRX-10239,2025-09-29,CUST-901,PROD-3173,Home & Garden,Asia Pacific,327.16,26.17,353.33
TRX-10240,2025-07-05,CUST-797,PROD-4924,Electronics,Latin America,192.07,15.37,207.44
TRX-10241,2025-08-13,CUST-680,PROD-2614,Home & Garden,Europe,102.34,8.19,110.53
TRX-10242,2025-08-18,CUST-652,PROD-3342,Clothing,North America,34.34,2.75,37.09
TRX-10243,2025-09-01,CUST-628,PROD-4960,Home & Garden,Europe,458.35,36.67,495.02
TRX-10244,2025-07-02,CUST-278,PROD-3516,Sports,Latin America,89.61,7.17,96.78
TRX-10245,2025-11-17,CUST-649,PROD-1281,Toys,Asia Pacific,203.32,16.27,219.59
TRX-10246,2025-08-27,CUST-397,PROD-1432,Home & Garden,Asia Pacific,184.68,14.77,199.45
TRX-10247,2025-03-19,CUST-681,PROD-4620,Toys,Europe,120.41,9.63,130.04
TRX-10248,2025-12-06,CUST-372,PROD-1186,Electronics,Asia Pacific,280.31,22.42,302.73
TRX-10249,2025-01-16,CUST-923,PROD-1016,Sports,North America,155.99,12.48,168.47
TRX-10250,2025-11-16,CUST-348,PROD-1945,Electronics,Asia Pacific,48.39,3.87,52.26
TRX-10251,2025-01-31,CUST-832,PROD-4401,Clothing,North America,496.62,39.73,536.35
TRX-10252,2025-05-07,CUST-582,PROD-4260,Sports,Europe,267.64,21.41,289.05
TRX-10253,2025-06-23,CUST-203,PROD-2955,Toys,Europe,25.18,2.01,27.19
TRX-10254,2025-04-01,CUST-576,PROD-4099,Electronics,Asia Pacific,279.32,22.35,301.67
TRX-10255,2025-06-22,CUST-831,PROD-4885,Electronics,Europe,269.85,21.59,291.44
TRX-10256,2025-04-05,CUST-345,PROD-3843,Toys,Latin America,30.19,2.42,32.61
TRX-10257,2025-11-07,CUST-578,PROD-3560,Toys,Latin America,205.05,16.4,221.45
TRX-10258,2025-09-29,CUST-640,PROD-4694,Sports,North America,294.07,23.53,317.6
TRX-10259,2025-11-28,CUST-225,PROD-2094,Clothing,Europe,113.78,9.1,122.88
TRX-10260,2025-06-08,CUST-909,PROD-4862,Sports,Asia Pacific,196.57,15.73,212.3
TRX-10261,2025-11-17,CUST-101,PROD-1498,Home & Garden,Latin America,410.22,32.82,443.04
TRX-10262,2025-10-12,CUST-225,PROD-2418,Sports,Latin America,216.15,17.29,233.44
TRX-10263,2025-06-06,CUST-385,PROD-2098,Home & Garden,Europe,458.55,36.68,495.23
TRX-10264,2025-11-04,CUST-631,PROD-3354,Toys,Asia Pacific,331.51,26.52,358.03
TRX-10265,2025-04-17,CUST-638,PROD-1279,Toys,Asia Pacific,385.57,30.85,416.42
TRX-10266,2025-06-10,CUST-248,PROD-4223,Home & Garden,Latin America,265.86,21.27,287.13
TRX-10267,2025-04-19,CUST-154,PROD-1538,Sports,Latin America,205.72,16.46,222.18
TRX-10268,2025-04-01,CUST-181,PROD-1942,Sports,Latin America,330.19,26.42,356.61
TRX-10269,2025-12-05,CUST-395,PROD-2407,Clothing,North America,132.77,10.62,143.39
TRX-10270,2025-12-14,CUST-109,PROD-2311,Sports,North America,221.27,17.7,238.97
TRX-10271,2025-03-23,CUST-426,PROD-4109,Toys,North America,339.1,27.13,366.23
TRX-10272,2025-06-05,CUST-114,PROD-2916,Toys,Latin America,440.16,35.21,475.37
TRX-10273,2025-11-03,CUST-104,PROD-2258,Sports,Asia Pacific,344.47,27.56,372.03
TRX-10274,2025-07-17,CUST-626,PROD-1306,Toys,Europe,115.58,9.25,124.83
TRX-10275,2025-10-22,CUST-979,PROD-3209,Toys,Asia Pacific,224.49,17.96,242.45
TRX-10276,2025-11-17,CUST-319,PROD-2658,Electronics,North America,480.0,38.4,518.4
TRX-10277,2025-12-15,CUST-305,PROD-4846,Toys,Europe,356.22,28.5,384.72
TRX-10278,2025-02-15,CUST-199,PROD-2694,Home & Garden,Europe,40.8,3.26,44.06
TRX-10279,2025-09-22,CUST-979,PROD-1641,Sports,Asia Pacific,59.84,4.79,64.63
TRX-10280,2025-05-11,CUST-210,PROD-3831,Electronics,Asia Pacific,288.44,23.08,311.52
TRX-10281,2025-12-26,CUST-731,PROD-2798,Home & Garden,Europe,364.41,29.15,393.56
TRX-10282,2025-09-21,CUST-507,PROD-1978,Clothing,Europe,65.35,5.23,70.58
TRX-10283,2025-12-18,CUST-673,PROD-1583,Sports,Asia Pacific,328.33,26.27,354.6
